Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leased,Post Code,Depreciation (£),PDC (£),Leases and rent (£),Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Management (Hard and Soft FM) costs (£),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Gross internal floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Clinical space - other (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Non-clinical space - other (m²),Retail sales area (m²),111 Contact Centre (m²),999 Contact Centre (to include empty & fall back desks) (m²),PTS Contact Centre (m²),Hub (make ready station) (m²),Spoke (m²),Ambulance Station (excludes deployment points with no premises costs) (m²),Ambulance Station (PTS) (m²),Training (m²),Corporate (m²),Fleet Workshop (m²),HART (Hazardous Area Response Team) (m²),Masts (m²),Logistics Store (m²),Other (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - clinical space (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Age profile - 2015 to 2024 (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),CHP units operated on the site (No.),CHP unit/s size - electrical (watts),CHP unit/s size - thermal (watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Water and sewerage cost (£),Water volume (including borehole) (m³),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),Confidential waste cost (£),Confidential waste volume (Tonnes),Other waste costs (£),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Cleaning service cost (£),Cleaning staff (WTE),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Inpatient food service cost (£),Inpatient main meals requested (No.),Hostess meal service (Select),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Laundry and linen service used (Select),Laundry service cost (£),Linen service cost (£),Laundered pieces per annum (No.),Onsite laundry (Select),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Portering service cost (£),Portering staff (WTE),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£)
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RGPORS,OTHER REPORTABLE SITES,Other Reportable Site,,,NR31 6LA,"23,976","20,813",0,"32,256",0,655,0,802,179,0,0,0,0,Not Applicable,Not Applicable,678,100,"1,760",Not Applicable,Not Applicable,0,0,0,390,0,0,6,105,0,0,177,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,"5,464","38,245","24,259",0,0,0,4,96,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"4,008","22,789","3,025","78,730",0,0,0,0,"5,101","29,004",0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,420,156,Not Applicable,Not Applicable,235,0.2,0,0,0,0,0,0,"1,410",0.1,0,0,0,0,0,0,0,0,0,0,"1,300",2.9,0,Not Applicable,Not Applicable,0,27,2,0,0,0,No,Not Applicable,Not Applicable,"20,244",0.88,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,6. No service,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RGR44,NEWMARKET COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,CB8 7JG,0,0,0,"106,840",0,"1,840",Not Applicable,"316,162","7,499",0,"159,908",0,0,Not Applicable,Not Applicable,"4,455",100,"12,846",3.11,1.46,0,23,0,"3,626",42,0,13,0,228,0,497,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,96,100,10,20,3,12,15,"765,000","713,400","624,600","40,000",0,0,0,82.8,17.2,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"73,802","574,653","48,598","2,010,724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"8,976","3,251",Not Applicable,Not Applicable,240,1.93,"2,777",9.29,0,0,0,0,0,0,"1,005",1.86,0,0,0,0,"8,146",19.19,0,0,0,0,600,Not Applicable,Not Applicable,0,191,15,0,0,0,No,Not Applicable,Not Applicable,"300,326",7.76,Not Applicable,Not Applicable,"84,078","17,592",No hostess,Not Applicable,Not Applicable,4. Hybrid,"3,541","44,506","42,408",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RGR50,WEST SUFFOLK HOSPITAL,1. General acute hospital,1. Freehold,,IP33 2QZ,"2,948,000","903,000",0,"631,623","1,242,000",0,Not Applicable,"2,213,774","80,745","736,594","2,196,280","2,371,602","475,017",Not Applicable,Not Applicable,"57,546",100,"148,566",20.98,8.79,0,0,766,"33,376",412,208,894,"3,501",695,"6,431","11,091",172,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,86,97,1,1,40,52,2,"81,392,265","9,238,674","544,088,864","166,832",14.07,3.9,8.43,7.07,8.57,57.96,0,0,0,1,815,"1,145",100,"17,152,000","7,168,000","5,527,000",0,0,No,Not Applicable,"528,839","4,846,893","510,618","26,390,842",0,0,0,0,0,0,0,0,0,0,"15,000",0,0,"33,197",Not Applicable,Not Applicable,"188,318","110,687",Not Applicable,Not Applicable,"109,067",114.43,"94,609",314.3,"12,355",58,0,0,0,0,"15,088",244.1,210,2.4,645,0.77,"64,565",401.95,0,0,"1,271",69.69,"23,289.00",Not Applicable,Not Applicable,"422,106","1,811",64,6,2.13,0.18,Yes,Not Applicable,Not Applicable,"3,104,658",111,Not Applicable,Not Applicable,"1,775,025","406,378",No hostess,Not Applicable,Not Applicable,4. Hybrid,"737,000","168,979","2,324,407",No,Not Applicable,Not Applicable,"1,506,180",53.46,Not Applicable,Not Applicable
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RGT01,ADDENBROOKE'S HOSPITAL,1. General acute hospital,3. Part site - Private Finance Initiative (PFI),,CB2 0QQ,"11,261,000",0,"3,279,000","4,248,000","7,197,000","385,894",Not Applicable,"11,010,728","130,461","494,420","3,234,736","15,386,833","592,172","1,851,248",0,"236,329",100,"597,067",45.76,0,0,"3,454","2,052","151,137","1,667",438,647,"6,450","1,460","26,525","35,612","3,445",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2.69,0.24,0.06,1.08,215,121,2,"40,796,290","21,098,829","26,295,579","16,061,058",1.62,24.93,13.18,0.87,13.02,40.2,6.18,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"7,783,268","43,434,703","1,149,798","52,400,395","31,409","526,522",0,0,0,0,0,0,0,0,"876,231",0,0,"30,731",0,"96,142","565,284","342,883",0,"62,414","677,274","1,930.00",0,0,0,0,0,0,"2,780",21,"39,608",283,"11,735",164,0,0,"81,891",619,0,0,1,204,"759,510.00",0,0,"634,758","4,565",355,10,2.7,0.25,Yes,0,0,"13,024,845",431,0,0,"4,853,990","923,021",Complete hostess service,0,0,1. Contracted – Full service,"2,120,984",Not Applicable,"5,484,635",No,0,0,"3,586,815",121.37,0,0
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH536,RYDON,4. Mental Health (including Specialist services),1. Freehold,,TA2 7AZ,"98,692","167,596",0,0,0,0,Not Applicable,"64,958",0,0,0,"2,215",0,Not Applicable,Not Applicable,"2,254",100,"5,183",0.44,0,0,0,0,"1,915",0,0,0,0,0,0,339,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,30,0,0,0,0,0,"2,000",0,0,100,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"31,291","174,557","17,009","373,097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"5,551","1,562",Not Applicable,Not Applicable,360,0.41,473,1.17,629,2.73,0,0,0,0,771,3.35,0,0,0,0,"2,599",8.23,0,0,629,2.31,0,Not Applicable,Not Applicable,0,18,1,0,0,0,No,Not Applicable,Not Applicable,"167,023",6.43,Not Applicable,Not Applicable,"149,107","29,646",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"4,228",Not Applicable,"14,847",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH563,PYRLAND,4. Mental Health (including Specialist services),1. Freehold,,TA2  7AU,"73,177","134,854",0,"1,233",0,0,Not Applicable,"74,839",0,0,0,919,0,Not Applicable,Not Applicable,"1,780",100,"4,094",0.53,0,0,0,0,"1,459",0,0,0,0,0,0,321,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,22,5,0,0,"5,000",0,"2,000",0,0,0,100,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"29,372","174,608","14,292","445,727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"14,785","4,500",Not Applicable,Not Applicable,360,0.41,473,1.17,230,2.73,0,0,0,0,887,1.22,0,0,0,0,"2,599",2.02,0,0,0,0,0,Not Applicable,Not Applicable,0,18,0,0,0,0,No,Not Applicable,Not Applicable,"166,544",6.43,Not Applicable,Not Applicable,"143,152","27,700",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"13,062",Not Applicable,"45,529",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH572,ROWAN,4. Mental Health (including Specialist services),1. Freehold,,BA20 2BX,"86,013","134,852",328,"1,970",0,0,Not Applicable,"96,794","8,922",0,0,"16,523",0,Not Applicable,Not Applicable,"3,953",100,"7,208",0.67,0,0,0,0,"3,144",0,0,0,0,0,0,808,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,18,0,0,0,"11,000","4,500",0,0,0,0,0,0,0,100,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"33,187","212,156","25,088","619,086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"9,637","2,029",Not Applicable,Not Applicable,671,0.83,946,2.34,"1,258",5.4,0,0,0,0,"1,667",6.6,0,0,0,0,"3,001",13.06,0,0,629,1.84,0,Not Applicable,Not Applicable,0,102,10,0,0,0,No,Not Applicable,Not Applicable,"113,146",9,Not Applicable,Not Applicable,"101,543","17,511",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"3,233",Not Applicable,"11,376",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH576,HOLFORD,4. Mental Health (including Specialist services),1. Freehold,,TA2  7AZ,"7,343",969,0,0,0,0,Not Applicable,"68,258",0,0,0,605,0,Not Applicable,Not Applicable,966,100,"2,222",0.16,0,0,0,0,821,0,0,0,0,0,0,145,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,10,0,0,0,0,0,"4,000",0,0,100,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"25,443","152,626","21,991","419,734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"5,229","1,261",Not Applicable,Not Applicable,799,0.91,105,0.26,140,0.61,0,0,0,0,197,0.74,0,0,0,0,578,1.84,0,0,0,0,0,Not Applicable,Not Applicable,0,18,1,0,0,0,No,Not Applicable,Not Applicable,"37,660",1.43,Not Applicable,Not Applicable,"54,282","9,476",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"2,411",Not Applicable,"8,543",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5C5,BROADWAY HOUSE,4. Mental Health (including Specialist services),1. Freehold,,TA6 5YA,"139,751","235,991",0,"42,588",0,0,Not Applicable,"153,818",883,0,0,"4,674",0,Not Applicable,Not Applicable,"3,543",100,"8,146",0.97,0,0,0,0,"2,682",0,0,0,0,0,0,860,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,35,0,0,0,0,"20,000",0,0,0,0,100,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"55,708","312,109","30,217","746,931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"17,770","4,245",Not Applicable,Not Applicable,"1,073",1.45,184,0.28,124,0.54,0,0,0,0,"1,782",10.18,0,0,0,0,"2,703",11.7,0,0,592,2.72,0,Not Applicable,Not Applicable,0,38,4,0,0,0,No,Not Applicable,Not Applicable,"218,719",17,Not Applicable,Not Applicable,"191,944","27,476",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"5,577",Not Applicable,"19,629",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5F1,WELLINGTON AND DISTRICT COTTAGE HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TA21 8QQ,"50,834","67,426",0,"17,644",0,0,Not Applicable,"67,901",0,126,0,"46,103",0,Not Applicable,Not Applicable,"1,378",100,"3,169",0.24,0,0,0,0,"1,173",0,0,0,0,0,0,205,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,5,0,0,0,0,"1,000",0,20,0,0,0,0,0,0,80,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"14,983","68,896","10,609","318,763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"3,134",748,Not Applicable,Not Applicable,301,0.31,237,0.44,787,3.4,0,0,0,0,632,2.69,0,0,0,0,"1,365",8.64,0,0,185,0.14,0,Not Applicable,Not Applicable,0,24,2,0,0,0,No,Not Applicable,Not Applicable,"42,558",3.26,Not Applicable,Not Applicable,"24,554","3,263",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"2,083",Not Applicable,"7,147",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5F2,CHARD HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TA20 1NF,"44,804","67,426",0,"30,587",0,0,Not Applicable,"81,448",0,"4,328",0,"77,220",0,Not Applicable,Not Applicable,"1,693",100,"3,893",0.93,0,0,0,0,"1,434",0,0,0,0,0,0,259,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,1,1,0,0,0,0,"13,000",0,42,0,6,1,0,0,0,51,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"17,010","88,117","13,304","342,766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"3,573",815,Not Applicable,Not Applicable,751,0.58,"1,043",2.04,345,1.5,0,0,0,0,771,1.06,0,0,0,0,"1,316",1.02,0,0,0,0,0,Not Applicable,Not Applicable,0,91,5,0,0,0,No,Not Applicable,Not Applicable,"80,401",3.35,Not Applicable,Not Applicable,0,0,Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,256,Not Applicable,636,No,Not Applicable,Not Applicable,"17,285",0.8,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5F4,BURNHAM-ON-SEA WAR MEMORIAL HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TA8 1ED,"60,220","101,139",0,"23,200",0,0,Not Applicable,"97,935",0,706,0,"5,518",0,Not Applicable,Not Applicable,"1,880",100,"4,321",0.37,0,0,0,0,"1,588",0,0,0,0,0,0,291,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,3,0,0,0,0,"11,000","4,000",0,8,2,3,0,0,0,0,87,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"29,220","156,116","15,684","381,164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"6,186","2,004",Not Applicable,Not Applicable,950,0.87,432,0.22,"1,708",7.43,0,0,0,0,"1,559",2.13,0,0,0,0,"1,337",6.17,0,0,"1,110",1.87,0,Not Applicable,Not Applicable,0,25,3,0,0,0,No,Not Applicable,Not Applicable,"153,023",5.41,Not Applicable,Not Applicable,"72,054","19,031",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"7,831",Not Applicable,"26,500",No,Not Applicable,Not Applicable,"32,804",1.43,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5F5,MINEHEAD COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TA24 6DF,"195,966","303,417",0,"178,920",0,0,Not Applicable,"231,809",0,0,0,"11,403",0,Not Applicable,Not Applicable,"4,760",100,"10,948",1.18,0,0,0,0,"4,236",0,0,0,0,0,0,524,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,11,0,0,0,0,"10,000","5,500",0,100,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"95,345","516,441","20,681","529,585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"11,743","2,815",Not Applicable,Not Applicable,"1,824",2.15,"1,378",3.04,"2,012",8.75,0,0,0,0,"1,591",10.58,0,0,0,0,"1,961",15.72,0,0,"1,184",2.01,0,Not Applicable,Not Applicable,0,139,14,0,0,0,No,Not Applicable,Not Applicable,"247,104",10.64,Not Applicable,Not Applicable,"64,314","12,976",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"10,290",Not Applicable,"35,100",No,Not Applicable,Not Applicable,"40,638",1.59,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5F6,WILLITON HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TA4 4RA,"60,307","101,139",0,"41,570",0,0,Not Applicable,"116,582",0,334,0,"2,840",0,Not Applicable,Not Applicable,"2,422",100,"5,568",1.11,0,0,0,0,"1,767",0,0,0,0,0,0,654,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,4,0,0,0,"3,500","3,000","3,000",0,3,0,97,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"30,866","177,510","25,810","601,136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"13,615","3,187",Not Applicable,Not Applicable,971,0.9,"1,043",2.04,"2,329",9.13,0,0,0,0,"1,623",6.08,0,0,0,0,"2,681",12.5,0,0,629,0.98,0,Not Applicable,Not Applicable,0,35,2,0,0,0,No,Not Applicable,Not Applicable,"131,513",4.87,Not Applicable,Not Applicable,"93,539","18,834",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"12,640",Not Applicable,"43,213",No,Not Applicable,Not Applicable,"26,043",1.07,Not Applicable,Not Applicable
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RH5F7,SHEPTON MALLET COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,1. Leased and fully serviced by the Trust,BA4 4PG,"6,851",644,"175,086","23,057",0,0,0,"92,571",0,0,0,"28,844",0,Not Applicable,Not Applicable,"1,924",100,"4,422",Not Applicable,Not Applicable,0,0,0,"1,346",0,0,0,0,0,0,577,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,5,0,0,0,"2,000","1,000",0,32,0,21,0,0,0,1,46,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"19,722","258,081",206,1,"34,503","662,442",0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"5,090","1,551",Not Applicable,Not Applicable,873,0.76,708,1.04,"1,767",7.6,Not Applicable,Not Applicable,0,0,"1,246",17.26,0,0,0,0,"2,278",16.26,Not Applicable,Not Applicable,555,0.74,0,Not Applicable,Not Applicable,0,129,5,0,0,0,No,Not Applicable,Not Applicable,"91,652",1.25,Not Applicable,Not Applicable,"45,435","7,271",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"6,698",Not Applicable,"23,042",No,Not Applicable,Not Applicable,"29,663",1.1,Not Applicable,Not Applicable
